country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ588385,CZ072,CZ0
czechia,CZ588393,CZ072,CZ0
czechia,CZ588407,CZ072,CZ0
czechia,CZ588431,CZ072,CZ0
czechia,CZ588458,CZ072,CZ0
czechia,CZ588474,CZ072,CZ0
czechia,CZ588482,CZ072,CZ0
czechia,CZ588491,CZ072,CZ0
czechia,CZ588504,CZ072,CZ0
czechia,CZ588512,CZ072,CZ0
czechia,CZ588521,CZ072,CZ0
czechia,CZ588547,CZ072,CZ0
czechia,CZ588555,CZ072,CZ0
czechia,CZ588563,CZ072,CZ0
czechia,CZ588598,CZ072,CZ0
czechia,CZ588601,CZ072,CZ0
czechia,CZ588610,CZ072,CZ0
czechia,CZ588628,CZ072,CZ0
czechia,CZ588636,CZ072,CZ0
czechia,CZ588644,CZ072,CZ0
czechia,CZ588652,CZ072,CZ0
czechia,CZ588661,CZ072,CZ0
czechia,CZ588695,CZ072,CZ0
czechia,CZ588709,CZ072,CZ0
czechia,CZ588717,CZ072,CZ0
czechia,CZ588725,CZ072,CZ0
czechia,CZ588733,CZ072,CZ0
czechia,CZ588741,CZ072,CZ0
czechia,CZ588750,CZ072,CZ0
czechia,CZ588768,CZ072,CZ0
czechia,CZ588784,CZ072,CZ0
czechia,CZ588806,CZ072,CZ0
czechia,CZ588814,CZ072,CZ0
czechia,CZ588822,CZ072,CZ0
czechia,CZ588831,CZ072,CZ0
czechia,CZ588849,CZ072,CZ0
czechia,CZ588865,CZ072,CZ0
czechia,CZ588873,CZ072,CZ0
czechia,CZ588890,CZ072,CZ0
czechia,CZ588903,CZ072,CZ0
czechia,CZ588920,CZ072,CZ0
czechia,CZ588938,CZ072,CZ0
czechia,CZ588946,CZ072,CZ0
czechia,CZ588954,CZ072,CZ0
czechia,CZ588962,CZ072,CZ0
czechia,CZ588971,CZ072,CZ0
czechia,CZ588989,CZ072,CZ0
czechia,CZ588997,CZ072,CZ0
czechia,CZ589004,CZ072,CZ0
czechia,CZ589039,CZ072,CZ0
czechia,CZ589047,CZ072,CZ0
czechia,CZ589055,CZ072,CZ0
czechia,CZ589080,CZ072,CZ0
czechia,CZ589098,CZ072,CZ0
czechia,CZ589110,CZ072,CZ0
czechia,CZ589128,CZ072,CZ0
czechia,CZ589136,CZ072,CZ0
czechia,CZ589152,CZ072,CZ0
czechia,CZ589161,CZ072,CZ0
czechia,CZ589187,CZ072,CZ0
czechia,CZ589195,CZ072,CZ0
czechia,CZ589217,CZ072,CZ0
czechia,CZ589225,CZ072,CZ0
czechia,CZ589233,CZ072,CZ0
czechia,CZ589250,CZ071,CZ0
czechia,CZ589268,CZ071,CZ0
czechia,CZ589276,CZ071,CZ0
czechia,CZ589284,CZ071,CZ0
czechia,CZ589292,CZ071,CZ0
czechia,CZ589306,CZ071,CZ0
czechia,CZ589314,CZ071,CZ0
czechia,CZ589322,CZ071,CZ0
czechia,CZ589331,CZ071,CZ0
czechia,CZ589349,CZ071,CZ0
